,URL,Title,Author,Avg_rating,Num_reviews,Num_ratings,Pages,Publish_year,Series,Genres,Awards,Places
887,https://www.goodreads.com/book/show/91109.The_Long_Tomorrow,The Long Tomorrow,Leigh Brackett,3.66,242,2161,223,1955,,"['Science Fiction', 'Fiction', 'Apocalyptic']",['Hugo Award Nominee for Best Novel (1956)'],
888,https://www.goodreads.com/book/show/7654418-amsterdam-2012,Amsterdam 2012,Ruth Francisco,3.74,28,147,,2010,Amsterdam #1,"['Fiction', 'Mystery', 'Thriller']",,
889,https://www.goodreads.com/book/show/563943.The_Last_Dog_on_Earth,The Last Dog on Earth,Daniel Ehrenhaft,4.16,171,1388,234,2003,,"['Young Adult', 'Animals', 'Fiction']",,
890,https://www.goodreads.com/book/show/9378297-anna-dressed-in-blood,Anna Dressed in Blood,Kendare Blake,3.91,10012,100606,316,2011,Anna #1,"['Young Adult', 'Horror', 'Fantasy']","['Lincoln Award Nominee (2015)', 'Endeavour Award Nominee (2012)', 'CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011)', 'Missouri Gateway Readers Award Nominee (2014)']","Thunder Bay, Ontario  (Canada)"
891,https://www.goodreads.com/book/show/27523.Left_Behind,Left Behind,Tim LaHaye,3.84,3892,209776,342,1995,Left Behind #1,"['Fiction', 'Christian', 'Christian Fiction']",,"Illinois  (United States)   New York City, New York  (United States)   Mount Prospect, Illinois  (United States)   …more Chicago, Illinois  (United States)   …less"
892,https://www.goodreads.com/book/show/20518872-the-three-body-problem,The Three-Body Problem,Liu Cixin,4.06,16863,170479,399,2006,Remembrance of Earth's Past #1,"['Science Fiction', 'Fiction', 'Cultural']","['Hugo Award for Best Novel (2015)', 'Nebula Award Nominee for Best Novel (2014)', 'Locus Award Nominee for Best Science Fiction Novel (2015)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015)', 'Prometheus Award Nominee for Best Novel (2015)']",China  Beijing  (China)   Panama Canal  (Panama)
893,https://www.goodreads.com/book/show/1504222.Zenith,Zenith,Julie Bertagna,3.61,92,1008,340,2007,Exodus / Raging Earth #2,"['Young Adult', 'Science Fiction', '35 users']",['Carnegie Medal Nominee (2008)'],
894,https://www.goodreads.com/book/show/22489107-fairest,Fairest,Marissa Meyer,3.97,13809,114025,222,2015,The Lunar Chronicles #3.5,"['Fantasy', 'Young Adult', 'Science Fiction']",,Luna
895,https://www.goodreads.com/book/show/18077769-authority,Authority,Jeff VanderMeer,3.52,6407,63236,341,2014,Southern Reach #2,"['Science Fiction', 'Fiction', 'Horror']",,
896,https://www.goodreads.com/book/show/966835.The_Last_Man,The Last Man,Mary Wollstonecraft Shelley,3.35,563,4107,479,1826,,"['Classics', 'Fiction', 'Science Fiction']",,"Windsor, Berkshire, England  Istanbul  (Turkey)   Perth, Scotland  …more Dunkeld, Perthshire, Scotland  Greece  England  …less"
897,https://www.goodreads.com/book/show/6641635-the-golden-spiral,The Golden Spiral,Lisa Mangum,3.85,748,6891,365,2010,Hourglass Door  #2,"['Fantasy', 'Young Adult', 'Romance']",,
898,https://www.goodreads.com/book/show/32109569-we-are-legion-we-are-bob,We Are Legion (We Are Bob),Dennis E. Taylor,4.28,4882,59914,383,2016,Bobiverse #1,"['Science Fiction', 'Fiction', 'Audiobook']",['Seiun Award 星雲賞 Nominee for Best Translated Novel (2019)'],
899,https://www.goodreads.com/book/show/7245329-the-candidates,The Candidates,Inara Scott,3.6,432,3848,293,2010,Delcroix Academy #1,"['Young Adult', 'Fantasy', '103 users']",,
900,https://www.goodreads.com/book/show/125956.Black,Black: The Birth of Evil,Ted Dekker,4.19,1879,32888,432,2003,The Circle #1,"['Fantasy', 'Fiction', 'Christian Fiction']",,
901,https://www.goodreads.com/book/show/631169.Eva,Eva,Peter Dickinson,3.42,230,2032,219,1988,,"['Young Adult', 'Science Fiction', 'Fiction']","[""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1992)"", ""Phoenix Award (Children's Literature Association) (2008)""]",
902,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones,George R.R. Martin,4.44,55516,2084844,835,1996,A Song of Ice and Fire #1,"['Fantasy', 'Fiction', 'Fantasy']","['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']",The Lands of Ice and Fire
