,Unnamed: 0,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score,mean_norm,min_max_norm
461,461,https://www.goodreads.com/book/show/818433.Hell_House,Hell House,Richard Matheson,3.78,2669,39344,304.0,1971,False,"['Horror', 'Fiction', 'Fantasy']",,Maine  (United States),591,5.257501689189189,6.29054054054054
462,462,https://www.goodreads.com/book/show/24466484-a-time-to-speak,A Time to Speak,Nadine Brandes,4.61,162,580,458.0,2015,True,"['Science Fiction', '36 users', '25 users']",['Christy Award Nominee for Visionary (2016)'],,588,6.519326013513514,8.81418918918919
463,463,https://www.goodreads.com/book/show/186445.The_Little_Country,The Little Country,Charles de Lint,4.07,180,4052,544.0,1991,False,"['Fantasy', 'Fantasy', '97 users']",['Locus Award Nominee for Best Fantasy Novel (1992)'],,587,5.698380067567568,7.172297297297298
464,464,https://www.goodreads.com/book/show/1802170.Gateway,Gateway,Frederik Pohl,4.07,1608,40945,313.0,1977,True,"['Science Fiction', 'Fiction', 'Space']","['Hugo Award for Best Novel (1978)', 'Nebula Award for Best Novel (1977)', 'Locus Award for Best Science Fiction Novel (1978)', 'John W. Campbell Memorial Award for Best Science Fiction Novel (1978)', 'Ditmar Award Nominee for Best International Long Fiction (1978)\n...more\nPrix Tour-Apollo Award (1979)\n...less']",,586,5.698380067567568,7.172297297297298
465,465,https://www.goodreads.com/book/show/99702.Island_in_the_Sea_of_Time,Island in the Sea of Time,S.M. Stirling,4.02,459,7516,608.0,1998,True,"['Science Fiction', 'Science Fiction', '195 users']",,,582,5.622366554054054,7.020270270270269
466,466,https://www.goodreads.com/book/show/18710190-allegiant,Allegiant,Veronica Roth,3.62,66467,869935,526.0,2013,True,"['Young Adult', 'Science Fiction', '8,246 users']",['Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013)'],"Chicago, Illinois  (United States)",582,5.014258445945947,5.804054054054054
467,467,https://www.goodreads.com/book/show/30121324-gunfight-at-the-old-leake-canal,Gunfight at the Old Leake Canal,G.B. Hope,4.55,8,53,268.0,2016,False,,,,580,6.428109797297298,8.631756756756754
468,468,https://www.goodreads.com/book/show/968827.Where_Late_the_Sweet_Birds_Sang,Where Late the Sweet Birds Sang,Kate Wilhelm,3.86,689,9068,251.0,1976,False,"['Science Fiction', 'Fiction', 'Apocalyptic']","['Hugo Award for Best Novel (1977)', 'Nebula Award Nominee for Best Novel (1976)', 'Locus Award for Best Novel (1977)', 'Jupiter Award for Best Novel (1977)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1977)']",,577,5.379123310810811,6.533783783783783
469,469,https://www.goodreads.com/book/show/25843420-the-atlantis-gene,The Atlantis Gene,A.G. Riddle,3.74,4162,70347,464.0,2013,True,"['Science Fiction', 'Fiction', 'Thriller']",,,575,5.196690878378379,6.168918918918919
470,470,https://www.goodreads.com/book/show/10048874-dearly-departed,"Dearly, Departed",Lia Habel,3.83,1568,10340,470.0,2011,True,"['Young Adult', 'Science Fiction', '498 users']",,,574,5.333515202702703,6.4425675675675675
472,472,https://www.goodreads.com/book/show/189745.News_from_Nowhere_and_Other_Writings,News from Nowhere and Other Writings,William Morris,3.5,64,761,430.0,1890,False,"['Fiction', 'Classics', 'Philosophy']",,,572,4.831826013513513,5.4391891891891895
473,473,https://www.goodreads.com/book/show/417157.Egalia_s_Daughters,Egalia's Daughters: A Satire of the Sexes,Gerd Brantenberg,3.96,202,2500,272.0,1977,False,"['Feminism', 'Fiction', 'Gender']",,,570,5.531150337837838,6.837837837837839
474,474,https://www.goodreads.com/book/show/186423.Greenmantle,Greenmantle,Charles de Lint,4.0,103,3246,384.0,1988,True,"['Fantasy', 'Fantasy', '94 users']",,,560,5.591961148648649,6.95945945945946
475,475,https://www.goodreads.com/book/show/44439416-chapterhouse,Chapterhouse: Dune,Frank Herbert,3.92,981,49183,624.0,1985,True,"['Science Fiction', 'Fiction', 'Fantasy']",['Prometheus Award Nominee for Best Libertarian Science Fiction Novel (1986)'],Chapter House,558,5.470339527027027,6.716216216216216
476,476,https://www.goodreads.com/book/show/348.The_Door_Into_Summer,The Door Into Summer,Robert A. Heinlein,4.02,1160,23611,304.0,1957,False,"['Science Fiction', 'Fiction', 'Science Fiction']",,,558,5.622366554054054,7.020270270270269
477,477,https://www.goodreads.com/book/show/44492287-heretics-of-dune,Heretics of Dune,Frank Herbert,3.87,1125,57800,669.0,1984,True,"['Science Fiction', 'Fiction', 'Fantasy']","['Prometheus Award Nominee for Best Libertarian Science Fiction Novel (1985)', 'Prix Cosmos 2000 (1986)']",Arrakis  Gammu,556,5.394326013513513,6.564189189189189
478,478,https://www.goodreads.com/book/show/1152031.The_Stolen_Child,The Stolen Child,Keith Donohue,3.72,1413,10944,319.0,2006,False,"['Fantasy', 'Fiction', 'Fantasy']",['Mythopoeic Fantasy Award Nominee for Adult Literature (2007)'],,554,5.166285472972973,6.108108108108109
479,479,https://www.goodreads.com/book/show/44439415-god-emperor-of-dune,God Emperor of Dune,Frank Herbert,3.86,1940,71937,587.0,1981,True,"['Science Fiction', 'Fiction', 'Fantasy']",['Locus Award Nominee for Best SF Novel (1982)'],Arrakis,552,5.379123310810811,6.533783783783783
480,480,https://www.goodreads.com/book/show/155421.Something_from_the_Nightside,Something from the Nightside,Simon R. Green,3.77,1369,23289,230.0,2003,True,"['Fantasy', '1,083 users', '899 users']",,"London, England  (United Kingdom)   Nightside",550,5.242298986486487,6.260135135135135
481,481,https://www.goodreads.com/book/show/7896527-throne-of-glass,Throne of Glass,Sarah J. Maas,4.19,47797,671316,406.0,2012,True,"['Young Adult', 'Fiction', 'Fantasy']","['Lincoln Award Nominee (2015)', 'North Carolina Young Adult Book Award for High School (2015)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)']","Rifthold, Adarlan",546,5.880812500000001,7.537162162162162
482,482,https://www.goodreads.com/book/show/22325.Idoru,Idoru,William Gibson,3.82,565,22151,308.0,1996,True,"['Science Fiction', 'Science Fiction', '498 users']",,Japan,545,5.318312499999999,6.412162162162162
483,483,https://www.goodreads.com/book/show/7304203-shadowfever,Shadowfever,Karen Marie Moning,4.4,6806,100954,608.0,2011,True,"['Fantasy', '2,041 users', '1,998 users']","[""Romantic Times Reviewers' Choice Award (RT Award) for Best Urban Fantasy Protagonist (2011)"", 'DABWAHA Romance Tournament for Best Romance of the Year & Best Novel with Romantic Elements/Crossover (2012)', 'Goodreads Choice Award for Paranormal Fantasy and Nominee for Favorite Book (2011)']",Dublin  (Ireland),540,6.200069256756757,8.175675675675677
