,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score
845,https://www.goodreads.com/book/show/68146.The_Swarm,The Swarm,Frank Schätzing,4.06,1082,17422,881.0,2004.0,,"['Science Fiction', 'Thriller', 'Fiction']","['Deutscher Science Fiction Preis for Bester Roman (2005)', 'Deutscher Krimi Preis for 2. Platz National (2005)', 'Schlegel-Tieck Prize for Sally-Ann Spencer (2007)', 'Corine Internationaler Buchpreis for Belletristik (2004)']",Kiel (Hauptstadt)  (Germany),270
846,https://www.goodreads.com/book/show/43720168-winter-world,Winter World,A.G. Riddle,4.09,1230,20416,418.0,2019.0,The Long Winter #1,"['Science Fiction', 'Fiction', 'Thriller']",,,268
847,https://www.goodreads.com/book/show/8856041-blueprints-of-the-afterlife,Blueprints of the Afterlife,Ryan Boudinot,3.69,384,2204,416.0,2012.0,,"['Science Fiction', 'Fiction', 'Science Fiction']",['Philip K. Dick Award Nominee (2013)'],,267
848,https://www.goodreads.com/book/show/12158877-the-rook,The Rook,Daniel O'Malley,4.1,6814,50987,512.0,2012.0,The Checquy Files #1,"['Fantasy', 'Fantasy', '1,132 users']","['Aurealis Award for Science Fiction Novel (2012)', 'Goodreads Choice Award Nominee for Paranormal Fantasy (2012)', 'Green Mountain Book Award Nominee (2016)']","London, England  (United Kingdom)",267
849,https://www.goodreads.com/book/show/9593913-requiem,Requiem,Lauren Oliver,3.74,13272,133768,391.0,2013.0,Delirium #3,"['Young Adult', 'Science Fiction', '2,488 users']",['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)'],,266
850,https://www.goodreads.com/book/show/17306293-shift,Shift,Hugh Howey,4.12,4476,74126,570.0,2013.0,Silo #2,"['Science Fiction', 'Fiction', 'Science Fiction']",,,265
851,https://www.goodreads.com/book/show/12157365-unraveling,Unraveling,Elizabeth Norris,3.83,1924,18464,464.0,2012.0,Unraveling #1,"['Young Adult', 'Science Fiction', 'Fantasy']",,"San Diego, California  (United States)",265
852,https://www.goodreads.com/book/show/1030207.Children_of_the_Dust,Children of the Dust,Louise Lawrence,3.99,179,1834,176.0,1985.0,,"['Science Fiction', 'Young Adult', 'Fiction']",,,264
853,https://www.goodreads.com/book/show/7793307-ex-heroes,Ex-Heroes,Peter Clines,3.86,1443,15115,274.0,2010.0,Ex-Heroes #1,"['Horror', '345 users', '263 users']",,,263
854,https://www.goodreads.com/book/show/1848.Wild_Swans,Wild Swans: Three Daughters of China,Jung Chang,4.24,5975,97214,562.0,1991.0,,"['Nonfiction', 'History', 'Cultural']","['NCR Book Award (1992)', 'British Book Award (1993)']",China,263
855,https://www.goodreads.com/book/show/27405160-good-morning-midnight,"Good Morning, Midnight",Lily Brooks-Dalton,3.93,2214,14650,272.0,2016.0,,"['Fiction', 'Science Fiction', 'Science Fiction']",,Arctic Circle,262
856,https://www.goodreads.com/book/show/2723.The_Years_of_Rice_and_Salt,The Years of Rice and Salt,Kim Stanley Robinson,3.74,1294,11661,763.0,2002.0,,"['Fiction', 'Science Fiction', 'Science Fiction']","['Hugo Award Nominee for Best Novel (2003)', 'Locus Award for Best Science Fiction Novel (2003)', 'Arthur C. Clarke Award Nominee (2003)']",France,262
857,https://www.goodreads.com/book/show/768878.Abarat,Abarat,Clive Barker,4.09,1432,26084,393.0,2002.0,Abarat #1,"['Fantasy', 'Young Adult', 'Fiction']",['Borders Original Voices Award for YA or Independent Reader (2002)'],,262
858,https://www.goodreads.com/book/show/186103.Peeps,Peeps,Scott Westerfeld,3.77,1999,24095,312.0,2005.0,Peeps #1,"['Young Adult', 'Paranormal', '474 users']","['Locus Award Nominee for Best Young Adult Book (2006)', 'Georgia Peach Book Award Nominee for Honor book (2007)', 'Ditmar Award Nominee for Best Novel (2006)', 'Rhode Island Teen Book Award Nominee (2008)', 'Aurealis Award Nominee for Young Adult Novel (2005)\n...more\nMichigan Library Association Thumbs Up! Award Nominee (2006)', 'Lincoln Award Nominee (2009)', 'Andre Norton Award Nominee (2006)\n...less']",New York State  (United States),261
859,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,The Left Hand of Darkness,Ursula K. Le Guin,4.08,9952,128855,304.0,1969.0,Hainish Cycle #4,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award for Best Novel (1970)', 'Nebula Award for Best Novel (1969)', 'James Tiptree Jr. Award for Retrospective (1995)', 'Margaret A. Edwards Award (2004)']",,261
860,https://www.goodreads.com/book/show/38136877-an-easy-death,An Easy Death,Charlaine Harris,3.84,1538,10250,336.0,2018.0,Gunnie Rose #1,"['Fantasy', 'Fantasy', '178 users']",,,261
861,https://www.goodreads.com/book/show/22284.Diary,Diary,Chuck Palahniuk,3.62,2504,75189,262.0,2003.0,,"['Fiction', 'Horror', 'Contemporary']",,United States of America,261
862,https://www.goodreads.com/book/show/76740.The_Demolished_Man,The Demolished Man,Alfred Bester,3.99,1361,29320,250.0,1953.0,,"['Science Fiction', 'Fiction', 'Classics']","['Hugo Award for Best Novel (1953)', 'International Fantasy Award Nominee for Fiction (1954)']",,261
863,https://www.goodreads.com/book/show/6487308-fallen,Fallen,Lauren Kate,3.72,20070,518700,452.0,2009.0,Fallen #1,"['Young Adult', 'Fantasy', 'Romance']",,"Savannah, Georgia  (United States)",259
864,https://www.goodreads.com/book/show/23173254-the-neptune-challenge,The Neptune Challenge,Polly Holyoke,4.46,85,1105,,2015.0,The Neptune Project #2,"['Science Fiction', 'Science Fiction', '12 users']",,,259
865,https://www.goodreads.com/book/show/2167112.Last_Light,Last Light,Alex Scarrow,3.92,164,1705,402.0,2007.0,Last Light #1,"['Fiction', 'Thriller', 'Apocalyptic']",,,259
866,https://www.goodreads.com/book/show/234225.Dune,Dune,Frank Herbert,4.23,28109,843927,604.0,1965.0,Dune #1,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award for Best Novel (1966)', 'Nebula Award for Best Novel (1965)', 'Seiun Award 星雲賞 for Best Foreign Novel (1974)']",Arrakis  Caladan  Giedi Prime  …more Harko  Arrakin  Sietch Tabr  …less,259
867,https://www.goodreads.com/book/show/22576.Prayers_for_the_Assassin,Prayers for the Assassin,Robert Ferrigno,3.76,120,994,458.0,2006.0,Assassin Trilogy #1,"['Fiction', 'Thriller', 'Science Fiction']",,,258
868,https://www.goodreads.com/book/show/57070.Cloud_s_Rider,Cloud's Rider,C.J. Cherryh,3.93,24,809,464.0,1996.0,Finisterre #2,"['Science Fiction', 'Fantasy', 'Fiction']",,,257
869,https://www.goodreads.com/book/show/6845861-lights-out,Lights Out,David Crawford,4.1,139,1803,426.0,2005.0,,"['Apocalyptic', '25 users', '22 users']",,,256
870,https://www.goodreads.com/book/show/24807186-wolf-by-wolf,Wolf by Wolf,Ryan Graudin,4.22,3851,19001,388.0,2015.0,Wolf by Wolf #1,"['Historical', '1,388 users', '980 users']","['South Carolina Book Award Nominee for Young Adult (2018)', 'Rhode Island Teen Book Award Nominee (2018)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Amelia Elizabeth Walden Award Nominee (2016)', 'Lincoln Award Nominee (2019)']",,256
871,https://www.goodreads.com/book/show/18830.London_Fields,London Fields,Martin Amis,3.71,765,10873,526.0,1989.0,,"['Fiction', 'Mystery', 'Novels']",,"London, England, 1999  (United Kingdom)",256
872,https://www.goodreads.com/book/show/394986.Nature_s_End,Nature's End,Whitley Strieber,3.86,61,774,412.0,1986.0,,"['Science Fiction', 'Fiction', 'Science Fiction']",,,255
873,https://www.goodreads.com/book/show/13645264-isolation,Isolation,Dan Wells,3.92,322,3784,75.0,2012.0,Partials Sequence #0.5,"['Young Adult', 'Science Fiction', '106 users']",,,255
874,https://www.goodreads.com/book/show/10762469-the-leftovers,The Leftovers,Tom Perrotta,3.41,5798,43959,355.0,2011.0,,"['Fiction', 'Fantasy', 'Science Fiction']","['Premi Ictineu for Millor novel·la traduïda (2015)', 'Goodreads Choice Award Nominee for Fiction (2011)']",,254
875,https://www.goodreads.com/book/show/10558758-forty-days-at-kamas,Forty Days at Kamas,Preston Fleming,3.92,154,1003,336.0,2010.0,The Kamas Trilogy #1,"['Science Fiction', '17 users', '14 users']",,"Kamas, Utah  (United States)",251
876,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,The Gods Themselves,Isaac Asimov,4.09,1907,54932,288.0,1972.0,,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']","['Hugo Award for Best Novel (1973)', 'Nebula Award for Best Novel (1972)', 'Locus Award for Best Novel (1973)', 'Ditmar Award for Best International Long Fiction (1973)']",,250
